# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct  3 09:14:11 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,glat,glon,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
24 Sex c,24 Sex,1,2,0,Radial Velocity,2010,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,13.900,,,0,273.32000,111.24000,-69.92000,0,Msini,0.290000,0.160000,-0.090000,0,,,,,,,,,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,[Fe/H],3.50,0.10,-0.10,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,44.71580,245.08569,72.0691000,0.6854000,-0.6728000,6.4535000,0.0230000,-0.0230000,4.2850000,0.0160000,-0.0160000,6.2037400,0.0004976,-0.0004976
2M0437 b,2MASS J04372171+2651014,1,1,0,Imaging,2021,,,,,118.000000,1.300000,-1.300000,0,13.000,,,0,1271.31363,317.82841,-317.82841,0,Mass,,,,,1450,50,-50,0,,,,,M V,3100.00,100.00,-100.00,0,0.84,0.11,-0.11,0,0.17,0.01,-0.02,0,[Fe/H],4.50,0.50,-0.50,0,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,-13.44593,172.81975,128.4840000,1.1960000,-1.1740000,16.1860000,1.1330000,-1.1330000,10.3860000,0.0180000,-0.0180000,14.3374000,0.0007720,-0.0007720
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,Imaging,2013,,,,,84.000000,,,0,12.300,,,0,4131.79000,317.83000,-317.83000,0,Mass,,,,,,,,,,,,,M5.5/M6,,,,,,,,,0.19,0.02,-0.02,0,,,,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,-61.77586,299.26888,47.2000000,3.1000000,-3.1000000,15.7880000,0.2750000,-0.2750000,9.2370010,0.0220000,-0.0220000,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,Imaging,2013,,,,,52.000000,6.000000,-6.000000,0,11.209,,,0,7786.50000,794.50000,-794.50000,0,Mass,,,,,1600,100,-100,0,,,,,M3.5 V,3530.00,50.00,-50.00,0,0.37,0.01,-0.01,0,0.40,0.05,-0.05,0,,4.86,0.00,0.00,0,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,-82.51990,195.45385,33.8281000,0.0864000,-0.0860000,14.2440000,0.0740000,-0.0740000,9.1980000,0.0260000,-0.0260000,12.9025000,0.0011510,-0.0011510
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,Imaging,2015,,,,,156.000000,10.000000,-10.000000,0,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,Mass,,,,,,,,,,,,,M6,3064.00,76.00,-76.00,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,,4.59,0.06,-0.06,0,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,-67.98402,252.45343,40.0896412,0.1940496,-0.1940496,,,,10.4040000,0.0250000,-0.0250000,15.0123000,0.0006240,-0.0006240
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,0,Imaging,2018,,,,,1950.000000,200.000000,-200.000000,0,12.400,,,0,3686.80952,413.17693,-317.82841,0,Mass,,,,,,,,,,,,,M6 V,2859.00,157.00,-157.00,0,0.32,0.01,-0.01,0,0.05,0.01,-0.01,0,,4.91,0.00,0.00,0,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,-54.76650,181.38690,66.0613000,0.4543000,-0.4482000,18.3000000,0.2000000,-0.2000000,11.0550000,0.0210000,-0.0210000,15.6894000,0.0012240,-0.0012240
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,0,Imaging,2024,,,,,572.000000,7.000000,-7.000000,0,12.200,,,0,5720.91133,317.82841,-317.82841,0,Mass,,,,,2369,21,-5,0,,,,,,2943.00,157.00,-157.00,0,0.29,0.01,-0.01,0,0.26,0.02,-0.02,0,,4.94,0.00,0.00,0,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,-24.41615,171.79480,117.4350000,2.3200000,-2.2330000,,,,12.5330000,0.0280000,-0.0280000,16.9967000,0.0010820,-0.0010820
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,Imaging,2010,,,,,15.000000,,,0,12.600,,,0,2383.60000,794.50000,-794.50000,0,Mass,,,,,,,,,,,,,M8.5,2936.00,182.00,-182.00,0,0.23,0.01,-0.01,0,0.02,,,0,,5.01,0.00,0.00,0,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,-15.11435,176.51065,120.4239870,5.4783417,-5.4783417,,,,13.1610000,0.0250000,-0.0250000,18.9668000,0.0068330,-0.0068330
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,0,Imaging,2024,,,,,266.000000,8.000000,-8.000000,0,11.900,,,0,8899.19540,3178.28407,-2224.79885,0,Mass,,,,,2677,78,-76,0,,,,,,,,,,,,,,,,,,,,,,,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,-15.96361,296.98009,,,,,,,11.6320000,0.0260000,-0.0260000,18.3299000,0.0022940,-0.0022940
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,0,Imaging,2024,,,,,587.000000,2.000000,-2.000000,0,12.100,,,0,6356.56814,317.82841,-317.82841,0,Mass,,,,,2506,2,-2,0,,,,,,3021.00,157.00,-157.00,0,0.60,0.02,-0.02,0,0.59,0.02,-0.02,0,,4.65,0.01,-0.01,0,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,-16.74470,300.23137,100.8620000,0.6030000,-0.5960000,16.9570000,0.3090000,-0.3090000,10.0790000,0.0210000,-0.0210000,14.8180000,0.0017250,-0.0017250
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,Imaging,2004,,,,,55.000000,,,0,12.900,,,0,1589.15000,635.66000,-635.66000,0,Mass,,,,,1250,200,-200,0,,,,,M8,2825.00,157.00,-157.00,0,0.22,0.01,-0.01,0,0.02,,,0,,5.03,0.02,-0.02,0,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,22.54309,293.79011,64.3080000,0.6569000,-0.6440000,20.1500000,0.1900000,,11.9450000,0.0260000,-0.0260000,17.4076000,0.0021540,-0.0021540
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,Eclipse Timing Variations,2015,406.00000000,4.00000000,-4.00000000,0,0.920000,0.020000,-0.020000,0,13.400,,,0,603.87700,31.78300,-31.78300,0,Mass,0.330000,0.050000,-0.050000,0,,,,,,,,,,29564.00,,,0,0.20,0.00,0.00,0,0.48,,,0,[Fe/H],5.51,0.01,-0.01,0,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,11.67426,79.01876,396.3320000,6.3885000,-6.3885000,12.6510000,0.2150000,-0.2150000,12.9550000,0.0290000,-0.0290000,12.1376000,0.0036870,-0.0036870
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,0,Imaging,2024,,,,,7493.000000,11.000000,-11.000000,0,12.400,,,0,3813.94088,317.82841,-317.82841,0,Mass,,,,,1616,32,-3,0,,,,,,3592.00,157.00,-157.00,0,0.67,0.02,-0.02,0,0.64,0.02,-0.02,0,,4.59,0.01,-0.01,0,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,-32.11971,310.65078,34.1154000,0.0811000,-0.0807000,11.8040000,0.0700000,-0.0700000,7.3410000,0.0400000,-0.0400000,10.8133000,0.0020880,-0.0020880
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,Imaging,2016,,,,,230.000000,20.000000,-20.000000,0,12.300,,,0,3972.87500,476.74500,-476.74500,0,Mass,,,,,,,,,,,,,K7 V,4045.00,35.00,-35.00,0,0.64,0.06,-0.06,0,0.60,0.05,-0.05,0,,4.62,0.09,-0.13,0,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,-9.10923,100.74846,69.5737000,0.1592000,-0.1585000,12.3680000,0.0570000,-0.0570000,9.1480000,0.0180000,-0.0180000,11.9484000,0.0007370,-0.0007370
30 Ari B b,30 Ari B,4,1,0,Radial Velocity,2009,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,12.300,,,0,4392.41060,572.09400,-572.09400,0,Msini,0.290000,0.090000,-0.090000,0,,,,,,,,,F6 V,6331.00,61.00,-61.00,0,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,[Fe/H],4.43,0.05,-0.05,0,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,-32.30930,151.47681,44.6570000,0.1039000,-0.1034000,7.0920900,0.0230000,-0.0230000,5.8220000,0.0210000,-0.0210000,6.9608500,0.0005120,-0.0005120
4 UMa b,4 UMa,1,1,0,Radial Velocity,2006,270.27000000,0.24000000,-0.09000000,0,0.877000,0.001000,0.000000,0,12.600,,,0,2511.48007,63.24785,-120.13914,0,Msini,0.453000,0.021000,-0.036000,0,,,,,,,,,K1 III,4415.00,70.00,-70.00,0,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,[Fe/H],1.80,0.15,-0.15,0,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,35.95654,151.35882,73.4603000,1.1860500,-1.1860500,4.5801000,0.0230000,-0.0230000,1.7340000,0.2180000,-0.2180000,4.2377300,0.0047288,-0.0047288
42 Dra b,42 Dra,2,1,0,Radial Velocity,2008,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,13.000,,,0,1233.13000,270.14000,-270.14000,0,Msini,0.380000,0.060000,-0.060000,0,,,,,,,,,K1.5 III,4200.00,70.00,-70.00,0,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0,[Fe/H],1.71,0.05,-0.05,0,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,27.12504,95.41912,90.6545000,1.3227000,-1.3227000,4.8262000,0.0230000,-0.0230000,2.0850000,0.2160000,-0.2160000,4.4321600,0.0062380,-0.0062380
